date,game,platform,revenue_usd,dau,downloads
2025-11-12,카오스 제로 나이트메어,AOS,189620.14,99382.0,
2025-11-12,카오스 제로 나이트메어,iOS,341098.73,39067.0,
2025-11-13,듀엣 나이트 어비스,AOS,38361.37,57105.0,
2025-11-13,듀엣 나이트 어비스,iOS,16413.41,88555.0,
2025-11-13,블루 아카이브,AOS,49793.47,243099.0,
2025-11-13,블루 아카이브,iOS,116263.66,151769.0,
2025-11-13,스타 세이비어,AOS,,,
2025-11-13,스타 세이비어,iOS,,,
2025-11-13,스텔라소라,AOS,64095.52,8178.0,
2025-11-13,스텔라소라,iOS,37602.86,10202.0,
2025-11-13,승리의여신: 니케,AOS,497432.75,344346.0,
2025-11-13,승리의여신: 니케,iOS,315049.96,310775.0,
2025-11-13,카오스 제로 나이트메어,AOS,193271.38,89289.0,
2025-11-13,카오스 제로 나이트메어,iOS,321059.12,42511.0,
2025-11-14,듀엣 나이트 어비스,AOS,33182.35,46808.0,
2025-11-14,듀엣 나이트 어비스,iOS,16951.28,83298.0,
2025-11-14,블루 아카이브,AOS,66645.84,241645.0,
2025-11-14,블루 아카이브,iOS,78345.12,154876.0,
2025-11-14,스타 세이비어,AOS,,,
2025-11-14,스타 세이비어,iOS,,,
2025-11-14,스텔라소라,AOS,68673.56,9278.0,
2025-11-14,스텔라소라,iOS,30998.64,9698.0,
2025-11-14,승리의여신: 니케,AOS,436361.32,338518.0,
2025-11-14,승리의여신: 니케,iOS,428063.28,306263.0,
2025-11-14,카오스 제로 나이트메어,AOS,272362.58,98075.0,
2025-11-14,카오스 제로 나이트메어,iOS,249795.65,42740.0,
2025-11-15,듀엣 나이트 어비스,AOS,32814.49,45182.0,
2025-11-15,듀엣 나이트 어비스,iOS,15200.78,81893.0,
2025-11-15,블루 아카이브,AOS,64161.14,229823.0,
2025-11-15,블루 아카이브,iOS,58305.54,151932.0,
2025-11-15,스타 세이비어,AOS,,,
2025-11-15,스타 세이비어,iOS,,,
2025-11-15,스텔라소라,AOS,62822.23,11154.0,
2025-11-15,스텔라소라,iOS,30658.01,11363.0,
2025-11-15,승리의여신: 니케,AOS,461909.63,353539.0,
2025-11-15,승리의여신: 니케,iOS,336173.42,321017.0,
2025-11-15,카오스 제로 나이트메어,AOS,279369.38,107903.0,
2025-11-15,카오스 제로 나이트메어,iOS,182303.83,52815.0,
2025-11-16,듀엣 나이트 어비스,AOS,26483.38,43795.0,
2025-11-16,듀엣 나이트 어비스,iOS,14148.08,81359.0,
2025-11-16,블루 아카이브,AOS,61070.49,249910.0,
2025-11-16,블루 아카이브,iOS,52108.77,165635.0,
2025-11-16,스타 세이비어,AOS,,,
2025-11-16,스타 세이비어,iOS,,,
2025-11-16,스텔라소라,AOS,49866.52,11017.0,
2025-11-16,스텔라소라,iOS,35765.12,11718.0,
2025-11-16,승리의여신: 니케,AOS,395378.75,345358.0,
2025-11-16,승리의여신: 니케,iOS,366706.36,313778.0,
2025-11-16,카오스 제로 나이트메어,AOS,232081.79,101890.0,
2025-11-16,카오스 제로 나이트메어,iOS,157075.12,60263.0,
2025-11-17,듀엣 나이트 어비스,AOS,21487.53,43169.0,
2025-11-17,듀엣 나이트 어비스,iOS,12757.92,79788.0,
2025-11-17,블루 아카이브,AOS,60899.34,229621.0,
2025-11-17,블루 아카이브,iOS,43976.22,144032.0,
2025-11-17,스타 세이비어,AOS,,,
2025-11-17,스타 세이비어,iOS,,,
2025-11-17,스텔라소라,AOS,60944.58,12668.0,
2025-11-17,스텔라소라,iOS,36622.02,10690.0,
2025-11-17,승리의여신: 니케,AOS,426499.99,335967.0,
2025-11-17,승리의여신: 니케,iOS,295443.32,302418.0,
2025-11-17,카오스 제로 나이트메어,AOS,202109.81,84004.0,
2025-11-17,카오스 제로 나이트메어,iOS,124663.32,47198.0,
2025-11-18,듀엣 나이트 어비스,AOS,19280.02,42635.0,
2025-11-18,듀엣 나이트 어비스,iOS,11714.15,79061.0,
2025-11-18,블루 아카이브,AOS,54370.16,233777.0,
2025-11-18,블루 아카이브,iOS,66832.54,144945.0,
2025-11-18,스타 세이비어,AOS,,,
2025-11-18,스타 세이비어,iOS,,,
2025-11-18,스텔라소라,AOS,72964.64,20540.0,
2025-11-18,스텔라소라,iOS,106189.69,9210.0,
2025-11-18,승리의여신: 니케,AOS,398256.11,324537.0,
2025-11-18,승리의여신: 니케,iOS,384609.37,280396.0,
2025-11-18,카오스 제로 나이트메어,AOS,187759.59,90302.0,
2025-11-18,카오스 제로 나이트메어,iOS,111467.45,44676.0,
2025-11-19,듀엣 나이트 어비스,AOS,18336.54,40987.0,
2025-11-19,듀엣 나이트 어비스,iOS,9918.54,78829.0,
2025-11-19,블루 아카이브,AOS,64272.51,250817.0,
2025-11-19,블루 아카이브,iOS,133668.02,158960.0,
2025-11-19,스타 세이비어,AOS,,,
2025-11-19,스타 세이비어,iOS,2061.35,,
2025-11-19,스텔라소라,AOS,81454.63,23845.0,
2025-11-19,스텔라소라,iOS,122736.44,7678.0,
2025-11-19,승리의여신: 니케,AOS,434043.08,331982.0,
2025-11-19,승리의여신: 니케,iOS,421573.22,286142.0,
2025-11-19,카오스 제로 나이트메어,AOS,130934.92,82968.0,
